
####################################
40: 27.03502583503723s : x = 193.28425586618764 , y = 435.90230945922127
41: 27.524134874343872s : x = 193.62296324372164 , y = 436.16252571519135
42: 27.997302770614624s : x = 192.87147163306537 , y = 435.9030661301215
43: 32.04357028007507s : x = 193.45349601416495 , y = 436.0325653762173
44: 32.521002769470215s : x = 193.62296324372164 , y = 436.16252571519135
45: 33.00981903076172s : x = 193.45349601416495 , y = 436.0325653762173
46: 33.50965404510498s : x = 193.1152433153245 , y = 435.7717583609854
47: 34.010655879974365s : x = 192.94645887641707 , y = 435.640912479191
48: 34.48242235183716s : x = 192.94645887641707 , y = 435.640912479191
49: 34.957030296325684s : x = 192.95519418609572 , y = 436.56422049272675
50: 35.43399667739868s : x = 193.28425586618764 , y = 435.90230945922127
51: 35.9019136428833s : x = 193.28425586618764 , y = 435.90230945922127
52: 36.359620571136475s : x = 192.60957639035962 , y = 435.37833796014013
53: 36.82747292518616s : x = 193.28425586618764 , y = 435.90230945922127
54: 37.2940309047699s : x = 192.77790306361203 , y = 435.5097722124172
55: 40.67801785469055s : x = 192.77790306361203 , y = 435.5097722124172
56: 41.18408393859863s : x = 193.1152433153245 , y = 435.7717583609854
57: 41.67544412612915s : x = 190.68508726036364 , y = 437.85800052632266
58: 42.14490222930908s : x = 187.2465093666844 , y = 432.70898436401393
59: 42.6059467792511s : x = 184.55486887341436 , y = 428.4953076494345
60: 43.07330250740051s : x = 180.7762861920069 , y = 431.80368392225233
61: 44.42462491989136s : x = 178.45729434838086 , y = 433.4807063086824
62: 44.90230631828308s : x = 178.6223305864367 , y = 433.6368438305071
63: 45.36239790916443s : x = 178.86609818010163 , y = 432.79577573835996
64: 45.83554935455322s : x = 179.0299383667607 , y = 432.9512008064698
65: 46.322818756103516s : x = 178.86609818010163 , y = 432.79577573835996
66: 46.788862228393555s : x = 179.19404957165716 , y = 433.1063396829284
67: 47.24608635902405s : x = 178.79592310248927 , y = 432.94217724144454
68: 47.715551137924194s : x = 176.79741342678673 , y = 427.21897869707817
69: 49.44933271408081s : x = 173.4994141407231 , y = 427.3976202861448
70: 49.9151873588562s : x = 170.6323693211109 , y = 426.7043014679409
71: 50.919962644577026s : x = 166.54936345068228 , y = 427.9396893616019
72: 51.41838502883911s : x = 165.1326605265241 , y = 429.61352255402426
73: 51.9235782623291s : x = 165.1326605265241 , y = 429.61352255402426
74: 52.382930278778076s : x = 164.84388438597855 , y = 429.946774607056
75: 52.842514753341675s : x = 168.44334121724756 , y = 434.53518562296614
76: 53.31015968322754s : x = 171.36546390930698 , y = 438.88126167873804
77: 55.568124771118164s : x = 174.2558942891796 , y = 442.80049443272674
78: 56.21989560127258s : x = 178.6043363028696 , y = 446.30757341469223
79: 56.71280860900879s : x = 186.0267448108799 , y = 447.19836151115874
80: 57.18733525276184s : x = 190.6715227714916 , y = 444.8622057654197
81: 57.64508819580078s : x = 193.35953859140648 , y = 440.2289559400484
82: 58.121400117874146s : x = 197.17306743368033 , y = 435.2914618398018
